Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
1,Swappie,Finland,Technology,477.43,97611814,507000,218,1,2016,-21700.0
2,Kilo Health,Lithuania,Health,450.05,57318766,344428,177,10,2013,-1670.0
3,OCI,UK,Financial Services,409.59,568322073,4325512,32,4,2012,-700.0
4,OnlyFans,UK,Technology,393.63,316732986,2652185,800,4,2016,-19900.0
5,Enpal,Germany,Energy,386.88,56109613,486165,365,9,2017,-3955.5555555555557
6,MR Consulting,Germany,Waste management & recycling,343.52,13165586,150908,9,2,2017,-350.0
7,Thriva,UK,Health,321.66,18732563,251668,57,12,2015,-375.0
8,Exotec,France,Industrial Goods,306.86,47597000,706700,200,15,2015,-1233.3333333333335
9,Winelivery,Italy,Ecommerce,303.73,7337290,111500,10,1,2015,-900.0
10,Instabox,Sweden,Technology,299.73,24484879,392055,117,5,2015,-2240.0
11,Waterdrop,Austria,Food & Beverage,292.74,41205930,680197,180,12,2016,-1400.0
12,One Lease,France,Support Services,289.09,9015211,153046,11,2,2016,-450.0
13,Datlas*,Italy,Technology,287.39,9034926,155406,251,13,2017,-1830.7692307692307
14,Zego,UK,Fintech,276.63,12158046,229201,224,36,2016,-522.2222222222223
15,HCL-Logistics,Germany,Transport,262.97,11387156,238118,24,5,2017,-380.0
16,Popsa,UK,Technology,262.15,21455864,454975,34,4,2016,-750.0
17,Unit8,Switzerland,Technology,255.1,7234981,149397,41,2,2017,-1950.0
18,Luoto Company,Finland,Technology,253.14,14338668,325585,49,6,2016,-716.6666666666667
19,Journi Print,Austria,Ecommerce,249.41,6851839,160624,29,9,2014,-222.22222222222223
20,Portify,France,Support Services,248.11,11583215,274575,228,23,2017,-891.3043478260869
21,Tibber,Norway,Energy,247.71,30886935,782918,45,8,2015,-462.5
22,Rascal Industry,Poland,Fashion,245.65,9008822,238451,18,6,2013,-200.0
23,Pegaso Security,Italy,Support Services,243.23,8375180,207120,509,20,2017,-2445.0
24,Tide,UK,Fintech,239.17,16136633,416562,581,72,2016,-706.9444444444445
26,Bold Security Group,UK,Support Services,225.75,6238378,181772,26,6,2011,-333.33333333333337
27,Play Magnus Group,Norway,Games industry,213.04,6461790,214673,140,10,2013,-1300.0
28,Blue Whale Growth Fund,UK,Financial Services,212.69,5189391,170950,7,1,2016,-600.0
29,Kazidomi,Belgium,Ecommerce,212.45,8042499,263663,65,3,2016,-2066.666666666667
30,Sun Finance,Latvia,Fintech,210.7,121306296,4044537,800,90,2012,-788.8888888888889
31,Credimi,Italy,Financial Services,209.33,11301520,381830,56,21,2015,-166.66666666666669
32,SIRPLUS,Germany,Retail,208.23,4540000,155043,133,8,2017,-1562.5
