Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
33,AIHR | Academy to Innovate HR,The Netherlands,Education,205.53,3584553,125682,31,6,2016,-416.6666666666667
34,Logistics Capital Partners (LCP),Luxembourg,Property,205.25,210563743,7403458,27,9,2015,-200.0
35,Südwest Invest,Germany,Property,202.24,5820402,210820,10,2,2017,-400.0
36,CORADE (Plurimmo),France,Property,201.7,56018731,2039961,7,7,2000,0.0
37,Carranco,Spain,Food & Beverage,199.6,4176440,155310,5,4,2006,-25.0
38,Telemedi,Poland,Health,198.98,4452513,182100,50,10,2014,-400.0
39,Inkitt,Germany,Technology,195.49,5926970,229713,56,22,2014,-154.54545454545453
41,Attest,UK,Technology,193.34,4864178,194090,124,16,2015,-675.0
42,LGM IMMOBILIER,France,Property,193.05,2549778,101311,11,10,2016,-10.0
43,Wolfram Chain*,The Netherlands,Management Consulting,189.02,2431371,100711,29,7,2017,-314.2857142857143
44,RightNow,Germany,Technology,186.72,8951132,379771,38,3,2017,-1166.6666666666665
45,EO Charging,UK,Technology,183.64,17158962,757323,63,7,2014,-800.0
46,CheTariffa.it,Italy,Support Services,182.93,2495860,110200,9,2,2013,-350.0
47,Simply,UK,Financial Services,181.52,16483836,744092,90,26,2017,-246.15384615384616
48,Salary Finance,UK,Fintech,181.5,8593220,387995,187,24,2015,-679.1666666666667
49,DBT,Sweden,Fintech,179.79,3837994,179204,10,2,2017,-400.0
50,Tutlo,Poland,Education,179.69,7778203,388565,140,15,2016,-833.3333333333334
51,Ponera,France,Ecommerce,179.45,25901607,1186853,27,4,2013,-575.0
53,ACTEAM ENR,France,Energy,174.43,2133691,103240,8,2,2012,-300.0
54,Everflow,UK,Technology,172.73,64223085,3188715,70,8,2015,-775.0
56,WR Logistics,Germany,Transport,171.11,11662200,585280,7,2,2017,-250.0
57,iProov,UK,Technology,170.95,7435887,376519,61,14,2011,-335.7142857142857
58,Spin Up,Italy,Advertising,169.89,4009330,203950,5,1,2017,-400.0
59,BeGreat,Germany,Retail,167.01,5141555,270090,16,4,2012,-300.0
60,Tsunami Nutrition*,Italy,Ecommerce,166.0,6945000,369000,17,2,2017,-750.0
61,Matt Sleeps,The Netherlands,Interiors,163.5,9789240,535070,6,2,2016,-200.0
62,Tessian,UK,Technology,162.21,15365580,858482,138,28,2013,-392.85714285714283
63,Solarisbank,Germany,Financial Services,161.62,35938000,2007000,369,98,2016,-276.53061224489795
64,M2DG (MyFlexoffice),France,Support Services,160.45,6630617,375323,21,2,2016,-950.0
65,Eukon,Italy,Health,160.35,6393680,362320,11,2,2004,-450.0
66,Evolution Adv,Italy,Advertising,160.07,14175780,805870,13,3,2016,-333.33333333333337
67,Making Science,Spain,Technology,159.33,57670541,3306795,274,47,2001,-482.9787234042553
68,Everli,Italy,Ecommerce,159.01,109248030,6287460,207,45,2014,-360.0
69,AppFollow,Finland,Technology,158.37,2210636,128176,73,12,2014,-508.3333333333333
70,Synerise,Poland,Technology,157.82,3999023,255062,190,40,2013,-375.0
71,ChaiKola,Poland,Food & Beverage,157.37,5158786,330763,8,4,2010,-100.0
72,Scolution,Germany,Technology,157.04,1825546,107492,12,4,2015,-200.0
73,JL&P,France,Energy,156.47,2212606,131164,15,3,2017,-400.0
74,eFarma.com,Italy,Pharmaceuticals,156.11,20150800,1199580,50,8,2017,-525.0
75,Elvie,UK,Technology,155.16,40813930,2474341,138,22,2013,-527.2727272727273
76,Farmarelax,Italy,Personal & Household Goods,154.43,4459170,270750,5,1,2010,-400.0
77,Omnisend,UK,Technology,151.71,11761268,742746,99,20,2008,-395.0
78,World Trade Group,Italy,Fashion,149.82,4897950,314150,5,1,2017,-400.0
79,BESTEAM Conseil,France,Technology,149.54,3871782,249176,32,2,2016,-1500.0
80,Motorway,UK,Automobiles,147.76,4838407,320411,96,5,2016,-1820.0
82,Octopus Energy,UK,Energy,144.89,2120071949,145398192,918,106,2015,-766.0377358490566
83,CyberIAM*,UK,Cyber Security,144.8,5639335,387161,82,8,2017,-925.0
84,Cbweed*,Italy,Personal & Household Goods,142.64,3500000,245000,17,2,2017,-750.0
85,Catraport,Portugal,Automobiles,141.39,7294549,518613,46,18,2015,-155.55555555555557
86,OUIHELP,France,Support Services,141.29,3686617,262421,106,13,2016,-715.3846153846155
87,Inpay,Denmark,Fintech,140.93,23803000,1702000,67,33,2013,-103.03030303030303
88,M.G.I. Meccaniche Generali Irpine,Italy,Industrial Goods,140.07,2610700,188680,10,4,2017,-150.0
89,Glencar Construction,UK,Construction,139.27,107860442,7930094,80,7,2016,-1042.857142857143
90,Qmee,UK,Technology,139.17,12571314,925527,23,9,2010,-155.55555555555557
91,MyAppFree,Italy,Advertising,138.97,5764870,422420,10,1,2015,-900.0
92,Investa Dienstleistungen,Germany,Support Services,138.85,2176136,159707,55,8,2014,-587.5
93,Polarium Energy Solutions,Sweden,Batteries,138.52,74065413,5581858,58,19,2014,-205.26315789473685
94,Baroni Home,Italy,Ecommerce,138.36,1531358,113072,5,4,2016,-25.0
95,Dayshape,UK,Technology,138.19,3320479,247465,45,6,2013,-650.0
96,Marketers Company,Italy,Advertising,138.11,1880460,139300,8,3,2016,-166.66666666666669
97,Easo Magno,Spain,Beauty,137.67,3061854,228076,5,2,2017,-150.0
98,Greyfood,Germany,Retail,137.6,9187050,684874,10,1,2016,-900.0
99,Misfits Health,UK,Food & Beverage,137.18,2266155,171057,9,3,2016,-200.0
100,MeilleursBiens.com,France,Property,136.67,3864176,291481,5,1,2010,-400.0
101,Fasanara Capital,UK,Financial Services,136.11,11527860,882099,36,5,2011,-620.0
102,NtechLab,Cyprus,Technology,136.02,8730000,664000,122,44,2015,-177.27272727272728
103,Babylino Sensitive,Italy,Personal & Household Goods,135.82,2851840,217460,5,2,2016,-150.0
104,Fastned,The Netherlands,Technology,135.03,6890000,530667,54,24,2012,-125.0
105,Oxray,Portugal,Health,133.86,5465756,427339,6,2,2009,-200.0
106,ZEGA Invest,Germany,Property,132.91,3785340,299598,4,3,2017,-33.33333333333333
107,Abylon Consulting,Hungary,Technology,132.47,1721315,159128,7,2,2016,-250.0
108,Milrab,Norway,Ecommerce,132.16,79302201,6753191,77,20,2005,-285.0
109,Urbantz,Belgium,Technology,132.12,3031099,242368,55,7,2015,-685.7142857142857
110,Tricas Construction,UK,Construction,131.97,15880745,1281462,32,6,2017,-433.3333333333333
111,Florence One,Italy,Technology,131.28,1629099,131691,10,6,2017,-66.66666666666666
112,Ergotopia,Germany,Retail,131.19,7664825,620283,35,8,2014,-337.5
113,Mcule.com Kft.,Hungary,Chemicals & Pharmaceuticals,131.03,2683264,252713,17,5,2011,-240.0
114,Filo,Italy,Technology,130.96,10049610,815690,18,9,2014,-100.0
115,Homepal,Italy,Property,130.9,1603990,130290,11,4,2014,-175.0
116,Staffbase,Germany,Technology,130.32,26894501,2201178,310,55,2014,-463.6363636363637
117,ILON MATERIEL,France,Construction,129.69,2512300,207327,4,2,2016,-100.0
118,Bio-marine,Ireland,Personal & Household Goods,129.63,1612837,133200,25,7,2014,-257.14285714285717
119,ISODECO,France,Construction,129.18,2906133,241411,18,2,2016,-800.0
120,Treedom,Italy,Support Services,128.81,6709720,560150,42,18,2010,-133.33333333333331
121,Fenstermaxx24,Germany,Retail,128.15,8466121,712855,20,3,2016,-566.6666666666667
122,Pohl & Söhne Gerüstbau,Germany,Construction,127.34,2124763,180824,31,7,2017,-342.85714285714283
123,YSO CORP,France,Media,127.25,6689503,570012,13,3,2013,-333.33333333333337
124,Gyada Cosmetics,Italy,Beauty,127.18,1830610,156130,10,2,2017,-400.0
125,Privitar,UK,Technology,126.93,9923965,855321,190,47,2014,-304.25531914893617
126,Delineate,UK,Technology,126.7,3332661,288095,25,1,2015,-2400.0
127,Spyrosoft,Poland,Technology,126.48,24721755,2326082,563,75,2016,-650.6666666666666
128,Bio Energy Solutions,Slovakia,Waste management & recycling,126.19,16006537,1383205,37,6,2014,-516.6666666666667
129,Increso,Italy,Management Consulting,125.68,3230000,281000,51,2,2015,-2450.0
130,LSG - Logistic & Service Group,Italy,Transport,125.15,8873180,777410,46,1,2016,-4500.0
131,Energihem,Sweden,Construction,124.63,28004684,2527006,125,19,2015,-557.8947368421052
132,Amity,UK,Technology,123.72,5743440,522712,164,48,2012,-241.66666666666666
133,Goyago,Germany,Retail,122.74,3729920,337525,43,4,2014,-975.0
134,LA REGIE DE PORTAGE SALARIAL,France,Support Services,122.61,7638731,692440,140,23,2016,-508.69565217391306
135,Dall Energy,Denmark,Energy,121.81,6013000,551000,15,5,2007,-200.0
136,Appinio,Germany,Technology,121.61,3597000,330500,44,5,2014,-780.0
137,Pinsami,Italy,Food & Beverage,120.71,4892000,455000,33,14,2015,-135.71428571428572
139,VALUMEN,France,Support Services,120.26,2196424,205554,4,1,2014,-300.0
140,Follow,France,Advertising,119.95,6844818,643299,14,4,2016,-250.0
141,Darpdecade,Germany,Retail,119.27,6624660,628384,173,4,2016,-4225.0
142,Bolt,Estonia,Technology,118.93,221393889,21098843,1798,399,2013,-350.6265664160401
143,Kiteworldshop.com,Italy,Ecommerce,118.38,1671984,160539,5,2,2014,-150.0
144,Peter Kenkel,Germany,Retail,118.2,22137000,2131000,19,10,2006,-90.0
145,Templafy,Denmark,Technology,118.11,15486451,1521010,292,32,2014,-812.5
146,Comservice,Italy,Support Services,117.94,2016300,194780,99,17,2014,-482.35294117647055
147,Falcor Presse,Italy,Industrial Goods,117.38,2996770,291720,5,1,2017,-400.0
148,RoomRaccoon,The Netherlands,Technology,117.38,1715334,167000,40,8,2017,-400.0
149,Signaturit,Spain,Technology,116.95,5639953,552355,95,37,2013,-156.75675675675674
150,Modulr,UK,Fintech,116.5,12789098,1269382,191,31,2015,-516.1290322580645
151,PROFISHOP,Germany,Ecommerce,116.11,43812068,4340517,63,17,2012,-270.5882352941177
152,Floer,The Netherlands,Interiors,116.02,2520013,249975,15,2,2015,-650.0
153,Audiosalus,Italy,Retail,115.74,1569480,156300,12,4,2011,-200.0
154,StatsBomb,UK,Technology,115.29,2027170,204620,26,2,2016,-1200.0
155,Theras Biocare,Italy,Pharmaceuticals,114.64,26633230,2693390,8,2,2013,-300.0
156,Stenn,UK,Fintech,114.5,29615571,3058141,61,32,2016,-90.625
157,Nanushka,Hungary,Fashion,114.33,20825934,2456563,180,30,2012,-500.0
158,DPM - Deutsches Personal Management,Germany,Support Services,114.18,2267760,230800,60,10,2016,-500.0
159,Monese,UK,Fintech,114.0,18196451,1870109,243,84,2013,-189.28571428571428
160,Arquimea,Spain,Technology,113.05,72044361,7450099,288,40,2005,-620.0
161,Groupe PERSPECTIVE,France,Education,112.98,2709000,280390,18,4,2013,-350.0
162,Funnel,Sweden,Technology,112.98,11499031,1217338,155,37,2014,-318.9189189189189
163,Living Quarter,Germany,Health,111.62,5016731,529371,49,5,2015,-880.0000000000001
164,Svea Solar,Sweden,Energy,111.23,66146911,7177912,287,38,2013,-655.2631578947368
165,Bevcraft Group,Ireland,Food & Beverage,111.21,4046859,429505,16,6,2016,-166.66666666666669
166,Learning Technologies Group,UK,Technology,110.61,19446429,2096570,932,767,2013,-21.51238591916558
167,Cura Farma,Italy,Health,109.96,4436220,479290,9,2,2014,-350.0
168,Kamado Bono,Lithuania,Personal & Household Goods,109.88,6801734,735758,7,2,2013,-250.0
169,SIPADAN,Spain,Management Consulting,109.83,3457203,374200,47,3,2007,-1466.6666666666665
170,Dateio,Czech Republic,Fintech,108.95,4710733,530785,45,18,2013,-150.0
171,CREST Investment,Germany,Property,108.86,4857817,533144,16,4,2016,-300.0
172,Componenti Digitali,Italy,Retail,108.67,2805850,308810,19,2,2017,-850.0
173,IMMO-KONZEPTE,Germany,Property,107.81,2269276,252871,6,3,2006,-100.0
174,SwipBox,Denmark,Technology,107.4,9391760,1052796,41,3,2014,-1266.6666666666665
175,Nextory,Sweden,Media,107.29,26534087,3046667,85,9,2015,-844.4444444444445
176,ITDS Polska,Poland,Technology,107.23,8609941,1057443,176,32,2016,-450.0
177,Savait,Italy,Ecommerce,107.07,2108040,237410,5,4,2015,-25.0
178,Adpone,Spain,Advertising,106.94,11124512,1255372,18,3,2015,-500.0
179,Nord Security,Lithuania,Cyber Security,106.85,156623915,18035029,1000,350,2012,-185.71428571428572
180,Mews,The Netherlands,Technology,106.81,22386000,2531000,226,25,2012,-803.9999999999999
181,Titulae,Spain,Education,106.75,4870863,551128,35,9,2015,-288.88888888888886
182,systeme.io,Ireland,Ecommerce,106.48,2407982,273552,40,5,2016,-700.0
183,EODH SA,Greece,Aerospace & Defence,105.35,2597612,299988,30,20,2003,-50.0
184,Multix solutions,Italy,Health,105.23,11586460,1340430,5,2,2015,-150.0
185,B2DIGIT,France,Technology,105.19,1978128,228982,12,2,2016,-500.0
186,A Million Ads,UK,Advertising,105.03,4882837,570564,47,5,2015,-840.0
187,WoodWatch,The Netherlands,Retail,104.76,5590390,651170,25,5,2013,-400.0
188,Fenêtres du Doubs,France,Construction,104.36,2238347,262280,12,3,2010,-300.0
189,Koesea,Germany,Construction,104.08,3400000,400000,65,3,2016,-2066.666666666667
190,Podium Advanced Technologies,Italy,Automobiles,103.68,18025740,2133310,38,14,2011,-171.42857142857142
191,SPEGRA,Croatia,Construction,103.61,17059791,2025879,166,109,2010,-52.293577981651374
192,GPAINNOVA,Spain,Industrial Goods,103.25,15245617,1815680,117,18,2013,-550.0
193,Soluzione Tasse,Italy,Management Consulting,102.97,18939430,2264940,23,4,2016,-475.0
194,Velocultour,Germany,Retail,102.58,2458500,295731,15,2,2016,-650.0
195,butorpiac.hu,Hungary,Ecommerce,102.55,2184336,305268,7,2,2011,-250.0
196,Success Solutions,Czech Republic,Technology,102.26,2633664,327218,44,8,2016,-450.0
198,Dexatel,Estonia,Technology,101.78,11087980,1349733,24,4,2015,-500.0
199,Gemco,Italy,Construction,101.54,3941900,481510,6,1,2015,-500.0
200,Lyonnaise de Construction et Renovation,France,Construction,101.44,6640842,812371,30,10,2015,-200.0
201,Gousto,UK,Food & Beverage,101.13,210945370,26112757,702,204,2012,-244.11764705882354
202,Winter in Venice,UK,Beauty,100.89,12682062,1575522,6,4,2010,-50.0
203,Infratech Bau,Germany,Construction,100.83,60067088,7415334,72,18,2007,-300.0
204,4Streets Building Innovation Tunnels Bridges Roads,Italy,Construction,100.74,6739630,833230,46,3,2016,-1433.3333333333335
205,Landbay,UK,Fintech,100.68,8980496,1119178,95,31,2013,-206.4516129032258
206,Degoo,Sweden,Technology,100.67,1973775,249818,18,3,2012,-500.0
207,Franco Fresco,Germany,Food & Beverage,100.64,50723858,6280267,320,52,2016,-515.3846153846155
208,Lendable,UK,Fintech,100.63,40305193,5026349,84,25,2014,-236.0
209,Ulrich Müller Wealth Academy,Germany,Education,99.88,3516744,440369,6,2,2014,-200.0
210,cerascreen,Germany,Health,99.87,10499782,1315000,84,19,2012,-342.10526315789474
211,Eqinov,France,Energy,99.71,70183744,8811708,43,24,2011,-79.16666666666666
212,Serre Famiglia Pederiva Viticoltori dal 1958,Italy,Food & Beverage,99.59,9022020,1134730,12,7,1996,-71.42857142857143
213,Bloom & Wild,UK,Ecommerce,99.43,155595726,19757296,170,68,2013,-150.0
214,Bräutigam,Germany,Automobiles,99.43,6315124,796207,29,9,2016,-222.22222222222223
215,Newil & Bau,Finland,Construction,99.42,19420672,2448858,7,1,2006,-600.0
216,ID Finance,Spain,Fintech,98.97,103634000,13157000,411,271,2015,-51.66051660516605
217,Kry,Sweden,Health,98.61,77764611,10152222,600,74,2014,-710.8108108108108
218,Sixth Sense,Italy,Technology,98.54,3916570,500440,25,4,2015,-525.0
219,Nethive,Italy,Cyber Security,98.46,3960770,506730,19,7,2014,-171.42857142857142
220,Latitude Investment Management,UK,Financial Services,98.34,1750466,225964,8,3,2016,-166.66666666666669
221,Qred,Sweden,Fintech,98.29,30414122,3989355,68,10,2015,-580.0
222,oculavis,Germany,Technology,98.16,3924472,504357,55,15,2016,-266.66666666666663
223,The Information Lab,Italy,Technology,97.97,4253110,548180,30,5,2015,-500.0
224,MD Sonnenschutztechnik,Germany,Construction,97.92,4068621,524750,10,6,2015,-66.66666666666666
225,Syntio,Croatia,Technology,97.79,2127532,274966,43,7,2017,-514.2857142857143
226,Bomae,Denmark,Financial Services,97.76,1662487,214713,13,3,2016,-333.33333333333337
227,Gophr,UK,Technology,97.07,5738336,755191,18,6,2014,-200.0
228,Memory PC,Germany,Retail,96.85,57375000,7522000,110,20,2012,-450.0
229,Sollis Solargroßhandel,Germany,Retail,96.77,11860100,1556607,6,2,2017,-200.0
230,Spotawheel,Greece,Automobiles,96.62,15646588,2058315,123,37,2015,-232.43243243243242
231,Ooni Pizza Ovens,UK,Personal & Household Goods,96.28,63879414,8508398,83,18,2012,-361.11111111111114
232,Robovox Distributions,Germany,Retail,96.26,19427000,2570000,35,10,2015,-250.0
233,CentralNic Group,UK,Technology,96.18,197260279,26626422,650,92,2000,-606.5217391304348
234,Bernd Andert Transporte,Germany,Transport,95.88,4105262,546226,83,16,2003,-418.75
235,Bluewater Bio,UK,Technology,95.84,20201424,2708983,18,16,2007,-12.5
236,Tecma Solutions,Italy,Technology,95.8,7319870,975140,107,25,2012,-328.0
237,Delante,Poland,Sales & Marketing,95.39,2160094,316525,48,21,2015,-128.57142857142858
238,intumind,Germany,Health,95.0,6560962,884885,15,8,2015,-87.5
239,Saljol,Germany,Health,94.93,4146403,559778,15,10,2016,-50.0
240,TKD Solutions,Germany,Telecoms,94.82,15874245,2146950,20,9,2014,-122.22222222222223
241,Kuori,Finland,Technology,94.5,2501902,340000,15,5,2016,-200.0
242,Ferroamp,Sweden,Energy,94.5,7645003,1062649,42,21,2010,-100.0
243,Valor Real Estate Partners,UK,Financial Services,94.4,4534588,621636,23,6,2016,-283.33333333333337
244,Anexiti,France,Technology,94.26,2565735,350019,14,2,2013,-600.0
245,GENIUS,France,Support Services,94.12,2417902,330522,23,6,2017,-283.33333333333337
246,Instilla,Italy,Advertising,93.91,2993310,410520,31,3,2015,-933.3333333333334
247,FOOTDISTRICT,Spain,Ecommerce,93.85,14942262,2051133,60,12,2012,-400.0
248,Spiideo,Sweden,Technology,93.76,4799358,674805,36,12,2012,-200.0
249,ContractPodAi,UK,Technology,93.72,4875622,670685,118,14,2012,-742.8571428571429
250,Tarhan Bauausführungen,Germany,Construction,93.62,1851000,255000,15,5,2017,-200.0
251,Matillion,UK,Technology,93.49,24580709,3417815,218,44,2010,-395.45454545454544
252,Extra Mile Live Service,Germany,Retail,93.42,2637501,364485,5,2,2017,-150.0
253,LITTLEBIG CONNECTION,France,Support Services,92.43,111538883,15653388,173,17,2013,-917.6470588235294
254,SPC General Service,Italy,Construction,92.3,6788660,954700,50,15,2011,-233.33333333333334
255,jobandtalent,Spain,Technology,92.03,352879165,49833511,801,156,2008,-413.4615384615385
256,Financial House,UK,Fintech,92.03,18766625,2669247,20,14,2016,-42.857142857142854
257,MyLead,Poland,Sales & Marketing,92.02,2004501,309471,42,8,2013,-425.0
258,Mia-Platform,Italy,Technology,91.78,6515510,923730,74,15,2016,-393.3333333333333
259,Tecnimed,Italy,Health,91.74,9551790,1354980,32,20,1976,-60.0
260,Longevity Partners,UK,Retail,91.42,2336243,335460,22,5,2015,-340.0
261,NexumStp,Italy,Management Consulting,91.42,25667400,3659630,345,56,2015,-516.0714285714286
262,G-ON,France,Support Services,91.12,1810459,259342,16,3,2016,-433.3333333333333
263,Picnic,UK,Advertising,90.45,1508869,219999,10,3,2016,-233.33333333333334
264,Egomnia,Italy,Technology,90.1,1901140,276750,36,2,2012,-1700.0
265,LoyaltyLion,UK,Technology,90.09,4483296,657382,40,10,2012,-300.0
266,reMarkable,Norway,Technology,89.59,115793390,18106514,142,22,2016,-545.4545454545454
267,Kubrick,UK,Management Consulting,89.46,32614354,4829922,673,119,2016,-465.546218487395
268,Contrader,Italy,Technology,89.44,4682960,688860,35,7,2012,-400.0
269,SAMONT,Germany,Industrial Goods,89.41,19577339,2880891,89,39,2008,-128.2051282051282
270,Sirive,Italy,Construction,89.33,4527690,667170,5,1,2017,-400.0
271,Multienergia Verde,Spain,Energy,89.15,146453604,21640253,15,10,2014,-50.0
272,Wielandts UPMT,Belgium,Technology,89.06,1529270,226295,6,1,2013,-500.0
273,ASKET,Sweden,Fashion,88.81,6525278,991534,13,4,2015,-225.0
274,Central Warehouse Solution,Czech Republic,Transport,88.44,1788545,274790,45,10,2015,-350.0
275,Chef in Camicia,Italy,Advertising,88.2,2071960,310810,21,2,2015,-950.0
276,Piper Homes,UK,Construction,88.17,30436232,4601266,28,9,2015,-211.11111111111111
277,Alturas Cubiertas Y Fachadas,Spain,Construction,87.96,9375243,1411811,33,12,2014,-175.0
278,Autosalon Uhingen,Germany,Automobiles,87.95,10540000,1587500,11,2,2015,-450.0
279,Yumi Beauty,France,Chemicals & Pharmaceuticals,87.73,2678257,404819,5,1,2013,-400.0
280,FOR ME LAB,France,Ecommerce,87.21,1652073,251795,7,2,2016,-250.0
281,Stockholms Elbolag,Sweden,Energy,87.16,32265912,5033032,25,7,2015,-257.14285714285717
282,Flohr,Germany,Waste management & recycling,87.15,21249638,3241629,84,21,1999,-300.0
283,Agricodem,Italy,Agricultural Commodities,87.03,2856530,436610,4,1,2008,-300.0
284,DACH Schutzbekleidung,Germany,Industrial Goods,86.82,45227730,6936038,80,14,2005,-471.42857142857144
285,EM-Tec Energiemontagen,Germany,Construction,86.75,3002729,461000,16,7,2017,-128.57142857142858
286,Wave Studio,Romania,Technology,86.63,4105688,656172,9,8,2014,-12.5
287,bazzar,Croatia,Retail,86.45,6686617,1034093,17,3,2013,-466.6666666666667
288,Cybersprint,The Netherlands,Cyber Security,86.44,2914738,449771,43,10,2015,-330.0
289,Brandon Group,Italy,Ecommerce,86.3,32039000,4954590,34,19,2012,-78.94736842105263
290,Feiniko Handelsgesellschaft,Germany,Retail,86.24,32168909,4979484,13,1,2014,-1200.0
291,PharmaGrin,Italy,Health,85.59,2701410,422610,21,2,2015,-950.0
292,Life M,Czech Republic,Technology,85.57,2001844,322050,3,1,2016,-200.0
293,Plásticos Dão / Sacos & Saquetas,Portugal,Industrial Goods,85.53,1946703,304833,16,5,2012,-220.00000000000003
294,Logipal24,Germany,Transport,84.65,4967568,789058,70,19,2010,-268.42105263157896
295,PastBook,The Netherlands,Technology,84.47,33651532,5361088,22,23,2012,4.3478260869565215
296,Bluefin,UK,Ecommerce,84.45,28993287,4653721,21,6,2013,-250.0
297,Milk & Honey PR,UK,Sales & Marketing,84.3,1528900,245974,18,4,2016,-350.0
298,Prodeval,France,Energy,84.23,73514217,11756712,220,70,1990,-214.28571428571428
299,Virta,Finland,Technology,84.18,11029402,1765457,110,23,2013,-378.2608695652174
300,BizAway,Italy,Travel & Leisure,84.1,1989950,318940,28,4,2015,-600.0
301,Karl & Léon,France,Retail,83.77,2391019,385266,6,2,2015,-200.0
302,Identity,UK,Management Consulting,83.45,22885804,3733539,80,39,2001,-105.12820512820514
303,BlackBelt Holding,Hungary,Technology,83.41,5695000,923000,55,4,2016,-1275.0
304,DYNVEO,France,Retail,83.31,3687780,598678,13,1,2010,-1200.0
305,Favi,Czech Republic,Ecommerce,83.26,24995030,4174549,29,7,2016,-314.2857142857143
306,Hopkins,Finland,Sales & Marketing,83.16,4534346,737936,27,4,2016,-575.0
307,AP Italian Luxury,Italy,Fashion,83.06,4283930,698300,7,3,2016,-133.33333333333331
308,Novicap,UK,Fintech,83.03,3383802,551848,45,20,2015,-125.0
309,IGLM Store,Italy,Ecommerce,82.7,7790420,1277410,5,1,2013,-400.0
310,LUIS Technology,Germany,Technology,82.51,10000511,1644899,41,8,1999,-412.5
311,Quantexa,UK,Fintech,82.22,33902755,5643295,275,55,2016,-400.0
312,Enerbrain,Italy,Energy,81.99,4131370,685370,37,9,2014,-311.11111111111114
313,Brinckmann,Germany,Construction,81.93,6037461,1002579,28,7,2013,-300.0
314,LMG Building,Italy,Construction,81.67,6255970,1043440,12,6,1982,-100.0
315,Nordic Unmanned,Norway,Aerospace & Defence,81.55,6305237,1122907,33,12,2013,-175.0
316,Hemisphere,France,Property,81.09,6484822,1091925,6,2,2017,-200.0
317,therapiezentrum.com NW,Germany,Health,80.87,2916337,492860,87,23,2017,-278.2608695652174
318,Beauhurst,UK,Technology,80.54,5355215,916511,82,39,2010,-110.25641025641026
319,C.U.N. Cargo Carriers,Romania,Transport,80.52,7103702,1207613,49,43,2017,-13.953488372093023
320,MG Project,Italy,Telecoms,80.48,8208450,1396400,34,23,2016,-47.82608695652174
321,BONMEA,Germany,Retail,80.44,14597418,2484783,6,3,2015,-100.0
322,Oceanis Yachts,Italy,Travel & Leisure,80.38,3059130,521250,6,2,2007,-200.0
323,OPUS DB,France,Construction,80.31,12171118,2076139,8,2,2016,-300.0
324,Devensys Cybersecurity,France,Technology,80.3,3403055,580644,27,9,2013,-200.0
325,Project Agora,Cyprus,Advertising,80.26,19798875,3380420,104,25,2016,-316.0
