Sector,CAGR %,2020 Revenue ($),2017 Revenue ($),Employees in 2020,Employees in 2017,Change % in Revenue,Change in No. of Employees
Games industry,98.5375,120082253.5,28099603.25,339.0,192.0,327.34501420407065,147.0
Fintech,111.45961538461538,32141798.384615384,5455762.5,169.5,47.0,489.1348530038722,122.5
Travel & Leisure,65.23,34404185.28571428,9353581.42857143,167.42857142857142,46.714285714285715,267.8183116108161,120.7142857142857
Management Consulting,74.5109090909091,15415529.5,3720796.272727273,132.3181818181818,31.772727272727273,314.30727108046443,100.54545454545453
Cyber Security,74.65599999999999,24613671.2,4406389.5,148.4,53.4,458.5904559730818,95.0
Health,86.5225581395349,12640094.488372093,2430201.395348837,110.23255813953489,26.0,420.1253901246198,84.23255813953489
Technology,83.93363636363637,19195947.799043063,3576332.110047847,119.54545454545455,37.813397129186605,436.74958612236503,81.73205741626793
Transport,70.84785714285714,15781910.035714285,4878337.75,112.10714285714286,37.035714285714285,223.50999140463955,75.07142857142858
Energy,84.3102380952381,83589193.40476191,10653945.166666666,109.0952380952381,36.0,684.5844154172114,73.0952380952381
Telecoms,59.161500000000004,19925928.85,5662309.5,132.4,59.65,251.90462213342454,72.75
Support Services,82.29053571428572,8667813.19642857,1934491.8214285714,91.10714285714286,30.446428571428573,348.06667572404723,60.66071428571429
Food & Beverage,93.6615,28220424.65,5566184.45,80.4,22.3,406.99765527892265,58.10000000000001
Financial Services,92.91214285714285,35892469.03571428,3931004.714285714,82.46428571428571,27.107142857142858,813.0609511933936,55.35714285714285
Ecommerce,79.26753846153846,29974692.2,6656552.0,63.76923076923077,23.753846153846155,350.3035835970334,40.01538461538461
Batteries,138.52,74065413.0,5581858.0,58.0,19.0,1226.895327684796,39.0
Education,83.01133333333334,7089277.266666667,1836023.5333333334,46.46666666666667,11.0,286.12126358728955,35.46666666666667
Personal & Household Goods,98.099,27712309.5,6868616.4,48.1,14.7,303.4627628935574,33.400000000000006
Fashion,90.037,13544909.8,3449353.7,53.1,21.0,292.67964314590296,32.1
Advertising,74.79424242424243,9761134.454545455,2621346.272727273,47.63636363636363,17.12121212121212,272.37104292939824,30.515151515151512
Law,58.245000000000005,6276381.0,1611754.0,45.0,14.5,289.41308661247314,30.5
Industrial Goods,66.08166666666666,9687986.777777778,2208196.3333333335,46.05555555555556,17.72222222222222,338.72850577346503,28.333333333333336
Restaurants,50.605000000000004,3262830.0,879452.0,45.0,17.0,271.00717264842194,28.0
Media,68.81,9131485.545454545,1798096.2727272727,34.81818181818182,11.090909090909092,407.8418594130287,23.727272727272727
Waste management & recycling,91.44416666666666,10082454.416666666,1847225.8333333333,34.916666666666664,11.5,445.816014194258,23.416666666666664
Sales and Marketing,42.65,42525086.0,14649568.0,44.0,21.0,190.2821844302849,23.0
Retail,72.61674418604652,13100612.03488372,3295403.488372093,33.22093023255814,10.895348837209303,297.54197266312093,22.325581395348834
Construction,66.0932584269663,10999441.0,2476486.0,34.87640449438202,13.865168539325843,344.1551860176072,21.01123595505618
Architecture,60.265,3738828.5,898678.0,33.5,12.5,316.03650028152464,21.0
Aerospace & Defence,62.66833333333333,11539568.0,3874832.8333333335,36.833333333333336,16.0,197.80815060537878,20.833333333333336
Automobiles,65.57269230769231,14533535.192307692,3677199.1153846155,37.07692307692308,16.76923076923077,295.2338379366645,20.30769230769231
Interiors,69.8725,7556712.333333333,2239857.6666666665,38.666666666666664,19.5,237.37466651526816,19.166666666666664
Insurance,52.42666666666667,17035395.0,5173771.666666667,49.666666666666664,31.333333333333332,229.26453074369016,18.333333333333332
Property,89.8873076923077,26078573.076923076,4966304.115384615,27.384615384615383,9.384615384615385,425.1102725694321,18.0
Sales & Marketing,71.9,2927431.4,645010.3,24.9,7.5,353.85808567708136,17.4
Agricultural Commodities,59.50142857142857,22451094.57142857,6264134.285714285,33.285714285714285,16.0,258.4069808757065,17.285714285714285
Pharmaceuticals,85.824,11119772.0,1329578.2,18.4,5.6,736.3383214315638,12.799999999999999
Chemicals & Pharmaceuticals,68.72,4545889.875,1197376.875,15.75,6.25,279.6540562886685,9.5
Beauty,89.174,5107593.2,988915.6,11.8,5.4,416.48423788642833,6.4
Precious metals,46.385,28663023.0,8630283.0,20.0,16.5,232.12147272574956,3.5
